Date,Latitude,Locations,Longitude
2017-02-01,1.347401,Tampines Street11 (Blk 101),103.945289
2017-02-01,1.346834,Tampines Street11 (Blk 102),103.945761
2017-02-01,1.3476305,Tampines Street11 (Blk 103),103.9461075
2017-02-01,1.347294,Tampines Street11 (Blk 104),103.946427
2017-02-01,1.346429,Tampines Street11 (Blk 113),103.9463831
2017-02-01,1.3454105,Tampines Street11 (Blk 138),103.9454468
2017-02-01,1.3228957,Irrawaddy Road,103.8455712
2017-02-01,1.348188,Tampines Avenue 5(Blk 146),103.942383
2017-02-01,1.3475034,Tampines Street12 (Blk 140),103.943485
2017-02-01,1.348385,Tampines Street12 (Blk 141),103.94473
2017-02-01,1.348109,Tampines Street12 (Blk 143),103.943659
2017-02-01,1.373362,Hougang Avenue 8 (Blk 467),103.8968019
2017-02-01,1.374663,Hougang Avenue 10 (Blk 403),103.896376
2017-02-01,1.3733172,Hougang Avenue 10 (Blk 408),103.895332
2017-02-01,1.350657,Tampines Street82 (Blk 842D),103.937465
2017-02-01,1.3517539,Tampines Street82 (Blk 842E),103.938303
2017-02-01,1.352973,Tampines Street82 (Blk 856F),103.938309
2017-02-01,1.3716332,Almond Avenue,103.7733887
2017-02-01,1.3730839,Almond Crescent,103.7730664
2017-02-01,1.352456,Tampines Street32 (Blk 327),103.958319
2017-02-01,1.35409,Tampines Street32 (Blk 381),103.959041
2017-02-01,1.3542811,Tampines Street32 (Blk 384),103.9576394
2017-02-01,1.3721095,Ang Mo Kio Street 52(Blk 588A),103.8526723
2017-02-01,1.3720001,Ang Mo Kio Street 52(Blk 588B),103.8529979
2017-02-01,1.358251,Bukit Batok Street 31 (Blk 306),103.747541
2017-02-01,1.360188,Bukit Batok Street 32 (Blk 315),103.746446
2017-02-01,1.336857,Shaw Road,103.8846736
2017-02-01,1.3420217,Toa Payoh North (Blk 205),103.8482738
2017-02-01,1.342398,Toa Payoh North (Blk 207),103.845517
2017-02-01,1.4311454,Woodlands Drive16 (Blk 575),103.7970854
2017-02-01,1.4323614,Woodlands Drive16 (La Casa),103.7978412
2017-02-02,1.347401,Tampines Street 11 (Blk 101),103.945289
2017-02-02,1.346834,Tampines Street 11 (Blk 102),103.945761
2017-02-02,1.3476305,Tampines Street 11 (Blk 103),103.9461075
2017-02-02,1.347294,Tampines Street 11 (Blk 104),103.946427
2017-02-02,1.3465011,Tampines Street 11 (Blk 113),103.9462854
2017-02-02,1.3454105,Tampines Street 11 (Blk 138),103.9454468
2017-02-02,1.3444958,Tampines Street 11 (Tampines Court),103.948072
2017-02-02,1.3228957,Irrawaddy Road,103.8455712
2017-02-02,1.348188,Tampines Avenue 5 (Blk 146),103.942383
2017-02-02,1.3475034,Tampines Street 12 (Blk 140),103.943485
2017-02-02,1.348385,Tampines Street 12 (Blk 141),103.94473
2017-02-02,1.348109,Tampines Street 12 (Blk 143),103.943659
2017-02-02,1.373362,Hougang Avenue 8 (Blk 467),103.8968019
2017-02-02,1.374663,Hougang Avenue 10 (Blk 403),103.896376
2017-02-02,1.3733172,Hougang Avenue 10 (Blk 408),103.895332
2017-02-02,1.350657,Tampines Street 82 (Blk 842D),103.937465
2017-02-02,1.3517539,Tampines Street 82 (Blk 842E),103.938303
2017-02-02,1.352973,Tampines Street 82 (Blk 856F),103.938309
2017-02-02,1.3721095,Ang Mo Kio Street 52 (Blk 588A),103.8526723
2017-02-02,1.3720001,Ang Mo Kio Street 52 (Blk 588B),103.8529979
2017-02-02,1.3478138,Bukit Batok East Avenue 3 (Blk 222),103.7539445
2017-02-02,1.3487369,Bukit Batok East Avenue 5 (Blk 233),103.755312
2017-02-02,1.336857,Shaw Road,103.8846736
2017-02-02,1.3420217,Toa Payoh North (Blk 205),103.8482738
2017-02-02,1.342398,Toa Payoh North (Blk 207),103.845517
2017-02-03,1.347401,Tampines Street    11 (Blk 101),103.945289
2017-02-03,1.346834,Tampines Street    11 (Blk 102),103.945761
2017-02-03,1.3476305,Tampines Street    11 (Blk 103),103.9461075
2017-02-03,1.347294,Tampines Street    11 (Blk 104),103.946427
2017-02-03,1.3465011,Tampines Street    11 (Blk 113),103.9462854
2017-02-03,1.3454105,Tampines Street    11 (Blk 138),103.9454468
2017-02-03,1.3444958,Tampines Street    11 (Tampines Court),103.948072
2017-02-03,1.3516881,Tampines Avenue 4,103.9413248
2017-02-03,1.350657,Tampines Street    82 (Blk 842D),103.937465
2017-02-03,1.3517539,Tampines Street    82 (Blk 842E),103.938303
2017-02-03,1.352973,Tampines Street    82 (Blk 856F),103.938309
2017-02-03,1.373362,Hougang Avenue 8 (Blk 467),103.8968019
2017-02-03,1.374663,Hougang Avenue 10 (Blk 403),103.896376
2017-02-03,1.3733172,Hougang Avenue 10 (Blk 408),103.895332
2017-02-03,1.348188,Tampines Avenue 5 (Blk 146),103.942383
2017-02-03,1.3475034,Tampines Street 12 (Blk 140),103.943485
2017-02-03,1.348385,Tampines Street 12 (Blk 141),103.94473
2017-02-03,1.3815298,Ang Mo Kio Avenue 6 (Blk 634),103.8432138
2017-02-03,1.379877,Ang Mo Kio Avenue 6 (Blk 639),103.842309
2017-02-03,1.3721095,Ang Mo Kio Street 52 (Blk 588A),103.8526723
2017-02-03,1.3720001,Ang Mo Kio Street 52 (Blk 588B),103.8529979
2017-02-03,1.3478138,Bukit Batok East Avenue 3 (Blk 222),103.7539445
2017-02-03,1.3487369,Bukit Batok East Avenue 5 (Blk 233),103.755312
2017-02-03,1.336857,Shaw Road,103.8846736
2017-02-03,1.3420217,Toa Payoh North (Blk 205),103.8482738
2017-02-03,1.342398,Toa Payoh North (Blk 207),103.845517
2017-02-03,1.2867972,Tuas South Avenue 9,103.6367215
2017-02-03,1.439313,Woodlands Avenue 6 (Blk 677),103.801863
2017-02-03,1.439459,Woodlands Avenue 6 (Blk 680),103.8021909
2017-02-04,1.347401,Tampines Street 11 (Blk 101),103.945289
2017-02-04,1.346834,Tampines Street 11 (Blk 102),103.945761
2017-02-04,1.3476305,Tampines Street 11 (Blk 103),103.9461075
2017-02-04,1.347294,Tampines Street 11 (Blk 104),103.946427
2017-02-04,1.3465011,Tampines Street 11 (Blk 113),103.9462854
2017-02-04,1.3454105,Tampines Street 11 (Blk 138),103.9454468
2017-02-04,1.3444958,Tampines Street 11 (Tampines Court),103.948072
2017-02-04,1.3516881,Tampines Avenue 4,103.9413248
2017-02-04,1.350657,Tampines Street 82 (Blk 842D),103.937465
2017-02-04,1.3517539,Tampines Street 82 (Blk 842E),103.938303
2017-02-04,1.352973,Tampines Street 82 (Blk 856F),103.938309
2017-02-04,1.373362,Hougang Avenue 8 (Blk 467),103.8968019
2017-02-04,1.374663,Hougang Avenue 10 (Blk 403),103.896376
2017-02-04,1.3733172,Hougang Avenue 10 (Blk 408),103.895332
2017-02-04,1.299809,Beach Road,103.8596409
2017-02-04,1.3478138,Bukit Batok East Avenue 3 (Blk 222),103.7539445
2017-02-04,1.3487369,Bukit Batok East Avenue 5 (Blk 233),103.755312
2017-02-04,1.3717863,Old Choa Chu Kang Road,103.7053211
2017-02-04,1.3420217,Toa Payoh North (Blk 205),103.8482738
2017-02-04,1.342398,Toa Payoh North (Blk 207),103.845517
2017-02-04,1.439313,Woodlands Avenue 6 (Blk 677),103.801863
2017-02-04,1.439459,Woodlands Avenue 6 (Blk 680),103.8021909
2017-02-05,1.347401,Tampines Street 11 (Blk 101),103.945289
2017-02-05,1.346834,Tampines Street 11 (Blk 102),103.945761
2017-02-05,1.3476305,Tampines Street 11 (Blk 103),103.9461075
2017-02-05,1.347294,Tampines Street 11 (Blk 104),103.946427
2017-02-05,1.3465011,Tampines Street 11 (Blk 113),103.9462854
2017-02-05,1.3454105,Tampines Street 11 (Blk 138),103.9454468
2017-02-05,1.3444958,Tampines Street 11 (Tampines Court),103.948072
2017-02-05,1.3516881,Tampines Avenue 4,103.9413248
2017-02-05,1.350657,Tampines Street 82 (Blk 842D),103.937465
2017-02-05,1.3517539,Tampines Street 82 (Blk 842E),103.938303
2017-02-05,1.352973,Tampines Street 82 (Blk 856F),103.938309
2017-02-05,1.373362,Hougang Avenue 8 (Blk 467),103.8968019
2017-02-05,1.374663,Hougang Avenue 10 (Blk 403),103.896376
2017-02-05,1.3733172,Hougang Avenue 10 (Blk 408),103.895332
2017-02-05,1.299809,Beach Road,103.8596409
2017-02-05,1.3478138,Bukit Batok East Avenue 3 (Blk 222),103.7539445
2017-02-05,1.3487369,Bukit Batok East Avenue 5 (Blk 233),103.755312
2017-02-05,1.3717863,Old Choa Chu Kang Road,103.7053211
2017-02-05,1.3420217,Toa Payoh North (Blk 205),103.8482738
2017-02-05,1.342398,Toa Payoh North (Blk 207),103.845517
2017-02-05,1.439313,Woodlands Avenue 6 (Blk 677),103.801863
2017-02-05,1.439459,Woodlands Avenue 6 (Blk 680),103.8021909
2017-02-06,1.347401,Tampines Street 11 (Blk 101),103.945289
2017-02-06,1.346834,Tampines Street 11 (Blk 102),103.945761
2017-02-06,1.3476305,Tampines Street 11 (Blk 103),103.9461075
2017-02-06,1.347294,Tampines Street 11 (Blk 104),103.946427
2017-02-06,1.3465011,Tampines Street 11 (Blk 113),103.9462854
2017-02-06,1.3454105,Tampines Street 11 (Blk 138),103.9454468
2017-02-06,1.3444958,Tampines Street 11 (Tampines Court),103.948072
2017-02-06,1.3516881,Tampines Avenue 4,103.9413248
2017-02-06,1.350657,Tampines Street 82 (Blk 842D),103.937465
2017-02-06,1.3517539,Tampines Street 82 (Blk 842E),103.938303
2017-02-06,1.352973,Tampines Street 82 (Blk 856F),103.938309
2017-02-06,1.373362,Hougang Avenue 8 (Blk 467),103.8968019
2017-02-06,1.374663,Hougang Avenue 10 (Blk 403),103.896376
2017-02-06,1.3733172,Hougang Avenue 10 (Blk 408),103.895332
2017-02-06,1.299809,Beach Road,103.8596409
2017-02-06,1.3478138,Bukit Batok East Avenue 3 (Blk 222),103.7539445
2017-02-06,1.3487369,Bukit Batok East Avenue 5 (Blk 233),103.755312
2017-02-06,1.3717863,Old Choa Chu Kang Road,103.7053211
2017-02-06,1.3420217,Toa Payoh North (Blk 205),103.8482738
2017-02-06,1.342398,Toa Payoh North (Blk 207),103.845517
2017-02-06,1.439313,Woodlands Avenue 6 (Blk 677),103.801863
2017-02-06,1.439459,Woodlands Avenue 6 (Blk 680),103.8021909
2017-02-07,1.347401,Tampines Street 11 (Blk 101),103.945289
2017-02-07,1.346834,Tampines Street 11 (Blk 102),103.945761
2017-02-07,1.3476305,Tampines Street 11 (Blk 103),103.9461075
2017-02-07,1.347294,Tampines Street 11 (Blk 104),103.946427
2017-02-07,1.3465011,Tampines Street 11 (Blk 113),103.9462854
2017-02-07,1.3454105,Tampines Street 11 (Blk 138),103.9454468
2017-02-07,1.3444958,Tampines Street 11 (Tampines Court),103.948072
2017-02-07,1.3516881,Tampines Avenue 4,103.9413248
2017-02-07,1.351145,Tampines Street 82 (Blk 842B),103.936991
2017-02-07,1.350657,Tampines Street 82 (Blk 842D),103.937465
2017-02-07,1.3517539,Tampines Street 82 (Blk 842E),103.938303
2017-02-07,1.352973,Tampines Street 82 (Blk 856F),103.938309
2017-02-07,1.373362,Hougang Avenue 8 (Blk 467),103.8968019
2017-02-07,1.374663,Hougang Avenue 10 (Blk 403),103.896376
2017-02-07,1.3733172,Hougang Avenue 10 (Blk 408),103.895332
2017-02-07,1.299809,Beach Road,103.8596409
2017-02-07,1.3478138,Bukit Batok East Avenue 3 (Blk 222),103.7539445
2017-02-07,1.3487369,Bukit Batok East Avenue 5 (Blk 233),103.755312
2017-02-07,1.3717863,Old Choa Chu Kang Road,103.7053211
2017-02-07,1.3420217,Toa Payoh North (Blk 205),103.8482738
2017-02-07,1.342398,Toa Payoh North (Blk 207),103.845517
2017-02-07,1.4541921,Woodlands Industrial Park E1,103.7975037
2017-02-08,1.347401,Tampines Street    11 (Blk 101),103.945289
2017-02-08,1.346834,Tampines Street    11 (Blk 102),103.945761
2017-02-08,1.3476305,Tampines Street    11 (Blk 103),103.9461075
2017-02-08,1.347294,Tampines Street    11 (Blk 104),103.946427
2017-02-08,1.3465011,Tampines Street    11 (Blk 113),103.9462854
2017-02-08,1.3454105,Tampines Street    11 (Blk 138),103.9454468
2017-02-08,1.3463797,Tampines Street    11 (Blk 139),103.9445192
2017-02-08,1.3444958,Tampines Street    11 (Tampines Court),103.948072
2017-02-08,1.3516881,Tampines Avenue 4,103.9413248
2017-02-08,1.351145,Tampines Street    82 (Blk 842B),103.936991
2017-02-08,1.350657,Tampines Street    82 (Blk 842D),103.937465
2017-02-08,1.3517539,Tampines Street    82 (Blk 842E),103.938303
2017-02-08,1.352973,Tampines Street    82 (Blk 856F),103.938309
2017-02-08,1.299809,Beach Road,103.8596409
2017-02-08,1.3478138,Bukit Batok East Avenue 3 (Blk 222),103.7539445
2017-02-08,1.3487369,Bukit Batok East Avenue 5 (Blk 233),103.755312
2017-02-08,1.3471644,Bukit Batok Street 21 (Blk 218),103.754355
2017-02-08,1.318161,Gilstead Road (Gilstead 38),103.839139
2017-02-08,1.3183329,Gilstead Court),103.8396729
2017-02-08,1.3450189,Jurong West Street 81 (Blk 817),103.6954006
2017-02-08,1.3449032,Jurong West Street 81 (Blk 831),103.694627
2017-02-08,1.3717863,Old Choa Chu Kang Road,103.7053211
2017-02-08,1.35754,Tampines Street    41 (Blk 421),103.947546
2017-02-08,1.357438,Tampines Street    41 (Blk 424),103.948133
2017-02-08,1.3420217,Toa Payoh North (Blk 205),103.8482738
2017-02-08,1.342398,Toa Payoh North (Blk 207),103.845517
2017-02-09,1.347401,Tampines Street    11 (Blk 101),103.945289
2017-02-09,1.346834,Tampines Street    11 (Blk 102),103.945761
2017-02-09,1.3476305,Tampines Street    11 (Blk 103),103.9461075
2017-02-09,1.347294,Tampines Street    11 (Blk 104),103.946427
2017-02-09,1.3465011,Tampines Street    11 (Blk 113),103.9462854
2017-02-09,1.3454105,Tampines Street    11 (Blk 138),103.9454468
2017-02-09,1.3463797,Tampines Street    11 (Blk 139),103.9445192
2017-02-09,1.3444958,Tampines Street    11 (Tampines Court),103.948072
2017-02-09,1.3516881,Tampines Avenue 4,103.9413248
2017-02-09,1.351145,Tampines Street    82 (Blk 842B),103.936991
2017-02-09,1.350657,Tampines Street    82 (Blk 842D),103.937465
2017-02-09,1.3517539,Tampines Street    82 (Blk 842E),103.938303
2017-02-09,1.352973,Tampines Street    82 (Blk 856F),103.938309
2017-02-09,1.299809,Beach Road,103.8596409
2017-02-09,1.3478138,Bukit Batok East Avenue 3 (Blk 222),103.7539445
2017-02-09,1.3487369,Bukit Batok East Avenue 5 (Blk 233),103.755312
2017-02-09,1.3471644,Bukit Batok Street 21 (Blk 218),103.754355
2017-02-09,1.318161,Gilstead Road (Gilstead 38),103.839139
2017-02-09,1.317167,Gilstead Road (Gilstead Court),103.8388651
2017-02-09,1.3450189,Jurong West Street 81 (Blk 817),103.6954006
2017-02-09,1.3449032,Jurong West Street 81 (Blk 831),103.694627
2017-02-09,1.3717863,Old Choa Chu Kang Road,103.7053211
2017-02-09,1.3544733,Tampines Street    23 (Blk 212),103.9539937
2017-02-09,1.3550861,Tampines Street    23 (Blk 225),103.9539004
2017-02-09,1.35754,Tampines Street    41 (Blk 421),103.947546
2017-02-09,1.357438,Tampines Street    41 (Blk 424),103.948133
2017-02-10,1.347401,Tampines Street    11 (Blk 101),103.945289
2017-02-10,1.346834,Tampines Street    11 (Blk 102),103.945761
2017-02-10,1.3476305,Tampines Street    11 (Blk 103),103.9461075
2017-02-10,1.347294,Tampines Street    11 (Blk 104),103.946427
2017-02-10,1.3465011,Tampines Street    11 (Blk 113),103.9462854
2017-02-10,1.3454105,Tampines Street    11 (Blk 138),103.9454468
2017-02-10,1.3463797,Tampines Street    11 (Blk 139),103.9445192
2017-02-10,1.3444958,Tampines Street    11 (Tampines Court),103.948072
2017-02-10,1.3516881,Tampines Avenue 4,103.9413248
2017-02-10,1.351145,Tampines Street    82 (Blk 842B),103.936991
2017-02-10,1.350657,Tampines Street    82 (Blk 842D),103.937465
2017-02-10,1.3517539,Tampines Street    82 (Blk 842E),103.938303
2017-02-10,1.352973,Tampines Street    82 (Blk 856F),103.938309
2017-02-10,1.299809,Beach Road,103.8596409
2017-02-10,1.3478138,Bukit Batok East Avenue 3 (Blk 222),103.7539445
2017-02-10,1.3487369,Bukit Batok East Avenue 5 (Blk 233),103.755312
2017-02-10,1.3471644,Bukit Batok Street 21 (Blk 218),103.754355
2017-02-10,1.318161,Gilstead Road (Gilstead 38),103.839139
2017-02-10,1.317167,Gilstead Road (Gilstead Court),103.8388651
2017-02-10,1.3450189,Jurong West Street 81 (Blk 817),103.6954006
2017-02-10,1.3449032,Jurong West Street 81 (Blk 831),103.694627
2017-02-10,1.3717863,Old Choa Chu Kang Road,103.7053211
2017-02-10,1.3544733,Tampines Street    23 (Blk 212),103.9539937
2017-02-10,1.3550861,Tampines Street    23 (Blk 225),103.9539004
2017-02-10,1.35754,Tampines Street    41 (Blk 421),103.947546
2017-02-10,1.357438,Tampines Street    41 (Blk 424),103.948133
2017-02-10,1.362981,Tampines Street    45 (Blk 498H),103.957455
2017-02-10,1.363309,Tampines Street    45 (Blk 498J),103.956916
2017-02-11,1.347401,ampines Street    11 (Blk 101),103.945289
2017-02-11,1.346834,Tampines Street    11 (Blk 102),103.945761
2017-02-11,1.3476305,Tampines Street    11 (Blk 103),103.9461075
2017-02-11,1.347294,Tampines Street    11 (Blk 104),103.946427
2017-02-11,1.3465011,Tampines Street    11 (Blk 113),103.9462854
2017-02-11,1.3454105,Tampines Street    11 (Blk 138),103.9454468
2017-02-11,1.3463797,Tampines Street    11 (Blk 139),103.9445192
2017-02-11,1.3444958,Tampines Street    11 (Tampines Court),103.948072
2017-02-11,1.299809,Beach Road,103.8596409
2017-02-11,1.3516881,Tampines Avenue 4,103.9413248
2017-02-11,1.351145,Tampines Street    82 (Blk 842B),103.936991
2017-02-11,1.350657,Tampines Street    82 (Blk 842D),103.937465
2017-02-11,1.3517539,Tampines Street    82 (Blk 842E),103.938303
2017-02-11,1.352973,Tampines Street    82 (Blk 856F),103.938309
2017-02-11,1.3478138,Bukit Batok East Avenue 3 (Blk 222),103.7539445
2017-02-11,1.3487369,Bukit Batok East Avenue 5 (Blk 233),103.755312
2017-02-11,1.3471644,Bukit Batok Street 21 (Blk 218),103.754355
2017-02-11,1.4180128,Sungei Kadut Street 1,103.7510568
2017-02-11,1.318161,Gilstead Road (Gilstead 38),103.839139
2017-02-11,1.317167,Gilstead Road (Gilstead Court),103.8388651
2017-02-11,1.3450189,Jurong West Street 81 (Blk 817),103.6954006
2017-02-11,1.3449032,Jurong West Street 81 (Blk 831),103.694627
2017-02-11,1.3717863,Old Choa Chu Kang Road,103.7053211
2017-02-11,1.2874073,Redhill Lane (Blk 82),103.8195071
2017-02-11,1.2873313,Redhill Lane (Blk 85),103.8183546
2017-02-11,1.3544733,Tampines Street    23 (Blk 212),103.9539937
2017-02-11,1.3550861,Tampines Street    23 (Blk 225),103.9539004
2017-02-11,1.35754,Tampines Street 41    (Blk 421),103.947546
2017-02-11,1.357438,Tampines Street    41 (Blk 424),103.948133
2017-02-11,1.362981,Tampines Street    45 (Blk 498H),103.957455
2017-02-11,1.363309,Tampines Street    45 (Blk 498J),103.956916
2017-02-12,1.347401,Tampines Street    11 (Blk 101),103.945289
2017-02-12,1.346834,Tampines Street    11 (Blk 102),103.945761
2017-02-12,1.3476305,Tampines Street    11 (Blk 103),103.9461075
2017-02-12,1.347294,Tampines Street    11 (Blk 104),103.946427
2017-02-12,1.3465011,Tampines Street    11 (Blk 113),103.9462854
2017-02-12,1.3454105,Tampines Street    11 (Blk 138),103.9454468
2017-02-12,1.3463797,Tampines Street    11 (Blk 139),103.9445192
2017-02-12,1.3444958,Tampines Street    11 (Tampines Court),103.948072
2017-02-12,1.299809,Beach Road,103.8596409
2017-02-12,1.3516881,Tampines Avenue 4,103.9413248
2017-02-12,1.351145,Tampines Street    82 (Blk 842B),103.936991
2017-02-12,1.350657,Tampines Street    82 (Blk 842D),103.937465
2017-02-12,1.3517539,Tampines Street    82 (Blk 842E),103.938303
2017-02-12,1.352973,Tampines Street    82 (Blk 856F),103.938309
2017-02-12,1.3478138,Bukit Batok East Avenue 3 (Blk 222),103.7539445
2017-02-12,1.3487369,Bukit Batok East Avenue 5 (Blk 233),103.755312
2017-02-12,1.3471644,Bukit Batok Street 21 (Blk 218),103.754355
2017-02-12,1.4180128,Sungei Kadut Street 1,103.7510568
2017-02-12,1.318161,Gilstead Road (Gilstead 38),103.839139
2017-02-12,1.317167,Gilstead Road (Gilstead Court),103.8388651
2017-02-12,1.3450189,Jurong West Street 81 (Blk 817),103.6954006
2017-02-12,1.3449032,Jurong West Street 81 (Blk 831),103.694627
2017-02-12,1.3717863,Old Choa Chu Kang Road,103.7053211
2017-02-12,1.2874073,Redhill Lane (Blk 82),103.8195071
2017-02-12,1.2873313,Redhill Lane (Blk 85),103.8183546
2017-02-12,1.3544733,Tampines Street    23 (Blk 212),103.9539937
2017-02-12,1.3550861,Tampines Street    23 (Blk 225),103.9539004
2017-02-12,1.35754,Tampines Street 41    (Blk 421),103.947546
2017-02-12,1.357438,Tampines Street    41 (Blk 424),103.948133
2017-02-12,1.362981,Tampines Street    45 (Blk 498H),103.957455
2017-02-12,1.363309,Tampines Street    45 (Blk 498J),103.956916
2017-02-13,1.347401,Tampines Street    11 (Blk 101),103.945289
2017-02-13,1.346834,Tampines Street    11 (Blk 102),103.945761
2017-02-13,1.3476305,Tampines Street    11 (Blk 103),103.9461075
2017-02-13,1.347294,Tampines Street    11 (Blk 104),103.946427
2017-02-13,1.3465011,Tampines Street    11 (Blk 113),103.9462854
2017-02-13,1.3454105,Tampines Street    11 (Blk 138),103.9454468
2017-02-13,1.3463797,Tampines Street    11 (Blk 139),103.9445192
2017-02-13,1.3444958,Tampines Street    11 (Tampines Court),103.948072
2017-02-13,1.299809,Beach Road,103.8596409
2017-02-13,1.3516881,Tampines Avenue 4,103.9413248
2017-02-13,1.351145,Tampines Street    82 (Blk 842B),103.936991
2017-02-13,1.350657,Tampines Street    82 (Blk 842D),103.937465
2017-02-13,1.3517539,Tampines Street    82 (Blk 842E),103.938303
2017-02-13,1.352973,Tampines Street    82 (Blk 856F),103.938309
2017-02-13,1.3478138,Bukit Batok East Avenue 3 (Blk 222),103.7539445
2017-02-13,1.3487369,Bukit Batok East Avenue 5 (Blk 233),103.755312
2017-02-13,1.3471644,Bukit Batok Street 21 (Blk 218),103.754355
2017-02-13,1.4180128,Sungei Kadut Street 1,103.7510568
2017-02-13,1.318161,Gilstead Road (Gilstead 38),103.839139
2017-02-13,1.317167,Gilstead Road (Gilstead Court),103.8388651
2017-02-13,1.3450189,Jurong West Street 81 (Blk 817),103.6954006
2017-02-13,1.3449032,Jurong West Street 81 (Blk 831),103.694627
2017-02-13,1.3717863,Old Choa Chu Kang Road,103.7053211
2017-02-13,1.2874073,Redhill Lane (Blk 82),103.8195071
2017-02-13,1.2873313,Redhill Lane (Blk 85),103.8183546
2017-02-13,1.3544733,Tampines Street    23 (Blk 212),103.9539937
2017-02-13,1.3550861,Tampines Street    23 (Blk 225),103.9539004
2017-02-13,1.35754,Tampines Street 41    (Blk 421),103.947546
2017-02-13,1.357438,Tampines Street    41 (Blk 424),103.948133
2017-02-13,1.362981,Tampines Street    45 (Blk 498H),103.957455
2017-02-13,1.363309,Tampines Street    45 (Blk 498J),103.956916
2017-02-14,1.347401,Tampines Street    11 (Blk 101),103.945289
2017-02-14,1.346834,Tampines Street    11 (Blk 102),103.945761
2017-02-14,1.3476305,Tampines Street    11 (Blk 103),103.9461075
2017-02-14,1.347294,Tampines Street    11 (Blk 104),103.946427
2017-02-14,1.3465011,Tampines Street    11 (Blk 113),103.9462854
2017-02-14,1.3454105,Tampines Street    11 (Blk 138),103.9454468
2017-02-14,1.3463797,Tampines Street    11 (Blk 139),103.9445192
2017-02-14,1.3444958,Tampines Street    11 (Tampines Court),103.948072
2017-02-14,1.299809,Beach Road,103.8596409
2017-02-14,1.3478138,Bukit Batok East Avenue 3 (Blk 222),103.7539445
2017-02-14,1.3487369,Bukit Batok East Avenue 5 (Blk 233),103.755312
2017-02-14,1.3471644,Bukit Batok Street 21 (Blk 218),103.754355
2017-02-14,1.4180128,Sungei Kadut Street 1,103.7510568
2017-02-14,1.33125,Bedok Reservoir Road (Blk 121),103.909938
2017-02-14,1.332419,Bedok Reservoir Road (Blk 133),103.911764
2017-02-14,1.3075921,Dakota Crescent (Blk 60),103.888768
2017-02-14,1.308567,Old Airport Road    (Blk 99),103.887961
2017-02-14,1.318161,Gilstead Road (Gilstead 38),103.839139
2017-02-14,1.317167,Gilstead Road (Gilstead Court),103.8388651
2017-02-14,1.3450189,Jurong West Street 81 (Blk 817),103.6954006
2017-02-14,1.3449032,Jurong West Street 81 (Blk 831),103.694627
2017-02-14,1.3717863,Old Choa Chu Kang Road,103.7053211
2017-02-14,1.2874073,Redhill Lane (Blk 82),103.8195071
2017-02-14,1.2873313,Redhill Lane (Blk 85),103.8183546
2017-02-14,1.3544733,Tampines Street    23 (Blk 212),103.9539937
2017-02-14,1.3550861,Tampines Street    23 (Blk 225),103.9539004
2017-02-14,1.35754,Tampines Street    41 (Blk 421),103.947546
